,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,SPTP,Rank_NEID,V,Teff (K),log g,Δ,t_exp (s),rv_rms_db,nobs_db,FOM,Tau [d],Nobs Run 0.5,Nobs Run 1,Nobs Run 2,RV RMS Run 0.5,RV RMS Run 1,RV RMS Run 2,Δγ Run 1–0.5,Δγ Run 1–2,nobs_NEID,rv_rms_NEID
710,HD57863,Gaia DR3 3047573351458757760,HD57863,HIP35775,-,TIC187571246,-,-,-,,,,,,,,,,,,,,,,,,,0,
711,HD57517,Gaia DR3 3048519339470667520,HD57517,HIP35642,-,TIC319280528,-,-,-,,,,,,,,,,,,,,,,,,,0,
712,HD50639,Gaia DR3 3050309864100076544,HD50639,HIP33109,-,TIC123838254,-,-,F8.5V,,,,,,,,,,,,,,,,,,,0,
713,HD59984,Gaia DR3 3053492881541641600,HD59984,HIP36640,GJ3449,TIC6677245,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
714,HD61383,Gaia DR3 3056203899255907328,HD61383,HIP37233,-,TIC65953626,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
715,HD61606,Gaia DR3 3057712223051571200,HD61606,HIP37349,GJ282,TIC66100263,-,-,K3V,,,,,,,,,,,,,,,,,,,0,
716,HD60779,Gaia DR3 3060787930730737920,HD60779,HIP36976,GJ9237,TIC65672998,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
717,HD58556,Gaia DR3 3061562747131020416,HD58556,HIP36071,-,TIC64408446,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
718,HD71479,Gaia DR3 3065191272937568896,HD71479,HIP41479,-,TIC169108295,-,-,G2/3V,77.0,7.17,5925.0,4.27,3.26,1790.0,3.33,16.0,3.94,,,,,,,,,,0,
719,HD72528,Gaia DR3 3065324485643480320,HD72528,HIP41968,-,TIC121232944,-,-,F8/G0V,,,,,,,,,,,,,,,,,,,0,
720,HD69965,Gaia DR3 3065896266049916672,HD69965,HIP40765,-,TIC178645961,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
721,1Hya,Gaia DR3 3066710282611675776,HD70958,HIP41211,GJ306,TIC168975758,-,  1 Hya,F6V,,,,,,,,,,,,,,,,,,,0,
722,HD69582,Gaia DR3 3069481979626615552,HD69582,-,-,TIC178587576,-,-,-,,,,,,,,,,,,,,,,,,,0,
723,HD72659,Gaia DR3 3073443760538892032,HD72659,HIP42030,-,TIC121284864,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
724,HD72760,Gaia DR3 3073562610873679872,HD72760,HIP42074,GJ3507,TIC121286109,-,-,K0V,,,,,,,,,,,,,,,,,,,0,
725,HD70923,Gaia DR3 3076296890133768448,HD70923,HIP41209,-,TIC168942250,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
726,HD70110,Gaia DR3 3077104721942993920,HD70110,HIP40858,GJ2067,TIC178650755,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
727,HD71431,Gaia DR3 3077716870745485056,HD71431,HIP41471,-,TIC265044655,-,-,-,,,,,,,,,,,,,,,,,,,0,
